danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.664,0.714,7,-6.645,0,0.111,0.0353,8.42e-06,0.0843,0.71,101.969,audio_features,1MtUq6Wp1eQ8PC6BbPCj8P,spotify:track:1MtUq6Wp1eQ8PC6BbPCj8P,https://api.spotify.com/v1/tracks/1MtUq6Wp1eQ8PC6BbPCj8P,https://api.spotify.com/v1/audio-analysis/1MtUq6Wp1eQ8PC6BbPCj8P,197933,4
0.736,0.622,6,-4.653,0,0.133,0.0235,0.0,0.151,0.506,191.971,audio_features,0jAfdqv18goRTUxm3ilRjb,spotify:track:0jAfdqv18goRTUxm3ilRjb,https://api.spotify.com/v1/tracks/0jAfdqv18goRTUxm3ilRjb,https://api.spotify.com/v1/audio-analysis/0jAfdqv18goRTUxm3ilRjb,192779,4
0.727,0.839,2,-4.781,1,0.184,0.01,3.63e-06,0.177,0.338,95.485,audio_features,6Ole34qqbgkZ60IyrcVm7e,spotify:track:6Ole34qqbgkZ60IyrcVm7e,https://api.spotify.com/v1/tracks/6Ole34qqbgkZ60IyrcVm7e,https://api.spotify.com/v1/audio-analysis/6Ole34qqbgkZ60IyrcVm7e,127253,4
0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,audio_features,7KXjTSCq5nL1LoYtL7XAwS,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS,177000,4
0.744,0.856,10,-4.115,1,0.084,0.116,0.0,0.328,0.76,145.966,audio_features,4KtoztbBnU8JkP96u0B8HQ,spotify:track:4KtoztbBnU8JkP96u0B8HQ,https://api.spotify.com/v1/tracks/4KtoztbBnU8JkP96u0B8HQ,https://api.spotify.com/v1/audio-analysis/4KtoztbBnU8JkP96u0B8HQ,195832,4
0.76,0.964,2,-5.844,1,0.0577,0.00181,0.703,0.0975,0.643,125.003,audio_features,6ho0GyrWZN3mhi9zVRW7xi,spotify:track:6ho0GyrWZN3mhi9zVRW7xi,https://api.spotify.com/v1/tracks/6ho0GyrWZN3mhi9zVRW7xi,https://api.spotify.com/v1/audio-analysis/6ho0GyrWZN3mhi9zVRW7xi,248036,4
0.814,0.628,7,-7.178,1,0.221,0.167,0.0,0.101,0.677,123.977,audio_features,7mFj0LlWtEJaEigguaWqYh,spotify:track:7mFj0LlWtEJaEigguaWqYh,https://api.spotify.com/v1/tracks/7mFj0LlWtEJaEigguaWqYh,https://api.spotify.com/v1/audio-analysis/7mFj0LlWtEJaEigguaWqYh,201334,4
0.829,0.819,2,-3.43,0,0.131,0.137,0.00792,0.282,0.35,123.944,audio_features,5K09638EBQjVMrZYXA89aC,spotify:track:5K09638EBQjVMrZYXA89aC,https://api.spotify.com/v1/tracks/5K09638EBQjVMrZYXA89aC,https://api.spotify.com/v1/audio-analysis/5K09638EBQjVMrZYXA89aC,199199,4
0.768,0.933,2,-2.95,0,0.0385,0.206,0.915,0.0833,0.245,124.996,audio_features,4qDHt2ClApBBzDAvhNGWFd,spotify:track:4qDHt2ClApBBzDAvhNGWFd,https://api.spotify.com/v1/tracks/4qDHt2ClApBBzDAvhNGWFd,https://api.spotify.com/v1/audio-analysis/4qDHt2ClApBBzDAvhNGWFd,161280,4
0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,audio_features,4zN21mbAuaD0WqtmaTZZeP,spotify:track:4zN21mbAuaD0WqtmaTZZeP,https://api.spotify.com/v1/tracks/4zN21mbAuaD0WqtmaTZZeP,https://api.spotify.com/v1/audio-analysis/4zN21mbAuaD0WqtmaTZZeP,186662,4
